isin,ticker,name
GB00B03MLX29,R6C,ROYAL DUTCH SHELL A EO-07
GB0007188757,RIO1,"RIO TINTO PLC      LS-,10"
GB0007980591,BPE5,"BP PLC             DL-,25"
GB0008706128,LLD,"LLOYDS BKG GRP     LS-,10"
GB0009252882,GS7,"GLAXOSMITHKLINE   LS-,25"
GB0009895292,ZEG,"ASTRAZENECA PLC    DL-,25"
IE00BWBXM492,ZPDE,SSGA S.E.E.II-S.US E.S.S.
IE00BYZK4552,2B76,ISHS IV-AUTO.+ROBOTIC.ETF
IE00B0M62Q58,IQQW,ISHS-MSCI WORLD DL D
IE00B4L5Y983,EUNL,ISHSIII-CORE MSCI WLD DLA
IE00B4YBJ215,SPY4,SPDR S+P 400 US MID CAP
IE0031442068,IUSA,ISHS-S+P 500 DL D
LU0378435985,C068,COMS.-S.E.600 HLTH.UETF I
LU0392494562,X010,COMS.-MSCI WORL.T.U.ETF I
LU0488316133,C012,COMSTAGE-S+P 500 U.ETF I
DE000A0S9GB0,4GLD,DT.BOERSE COM. XETRA-GOLD
NL0010831061,0ME,"MOBILEYE N.V.     EO -,01"
NL0011585146,2FE,FERRARI N.V.
LU0292095535,DXSA,DB X-TR.EU.ST.S.D.30DR 1D
US0079031078,AMD,"ADVANCED MIC.DEV.  DL-,01"
US17275R1023,CIS,"CISCO SYSTEMS    DL-,001"
US3682872078,GAZ,GAZPROM ADR SP./2 RL 5L 5
US3755581036,GIS,"GILEAD SCIENCES   DL-,001"
US4581401001,INL,"INTEL CORP.       DL-,001"
US6410694060,NESM,NESTLE NAM. ADR/1 SF 1
US69343P1057,LUK,"LUKOIL SP.ADR     RL-,025"
US70450Y1038,2PP,"PAYPAL HDGS INC.DL-,0001"
US7475251036,QCI,"QUALCOMM INC.    DL-,0001"
US80585Y3080,SBNC,SBERBANK ADR REGS/4 RL3
DE000A161NR7,N4G,THE NAGA GROUP AG NA O.N.
AT0000969985,AUS,AT+S AUSTR.T.+SYSTEMT.
FR0010869495,LYQL,LY.D.SHORTDAX X2 UETF CEO
DE000A0F5UG3,EXXV,IS.DJ EUROZ.SUST.SC.U.ETF
DE000A0HGQF5,MF6,MAGFORCE AG
DE000A0LAUP1,CE2,CROPENERGIES AG
DE000A1H8BV3,NOEJ,NORMA GROUP SE NA O.N.
DE000A1TNUT7,DBAN,DT.BETEILIG.AG   NA O.N.
DE000A12UKK6,RKET,ROCKET INTERNET SE
DE000EVNK013,EVK,EVONIK INDUSTRIES NA O.N.
DE000LEG1110,LEG,LEG IMMOBILIEN AG NA O.N.
DE000WCH8881,WCH,WACKER CHEMIE        O.N.
DE000ZAL1111,ZAL,ZALANDO SE
DE0005102008,BSL,BASLER AG O.N.
DE0005104806,SYZ,SYZYGY AG O.N.
DE0005168108,B5A,BAUER AG
